codigoint;codigoean;descricao;loja;embseparacao;ppcx;eicx;capcx;ltmix;secaoope;grupomerc
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;002;12;0,83;1,83;1,42;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;003;12;1,00;2,00;2,83;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;004;12;0,67;1,67;2,83;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;011;12;0,67;1,67;2,83;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;012;12;0,67;1,67;1,42;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;013;12;1,00;2,00;5,67;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;014;12;0,67;1,67;1,42;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;017;12;0,67;1,67;1,42;A;10;101
1012475;7891000113295;CEREAL MUCILON AMEIXA E AVEIA SH 180G;018;12;0,83;1,83;2,83;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;002;12;0,50;1,50;1,42;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;003;12;1,00;2,00;2,83;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;004;12;0,67;1,67;2,83;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;006;12;1,00;2,00;4,25;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;011;12;0,67;1,67;5,67;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;012;12;0,83;1,83;2,83;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;013;12;0,83;1,83;5,67;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;014;12;0,67;1,67;1,42;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;017;12;1,00;2,00;1,42;A;10;101
1000659;7891000319543;CEREAL MUCILON ARROZ E AVEIA SH 180G;018;12;0,67;1,67;2,83;A;10;101
1005144;7891000319628;CEREAL MUCILON ARROZ SH 180G;002;12;0,83;1,83;1,42;A;10;101
1005144;7891000319628;CEREAL MUCILON ARROZ SH 180G;003;12;0,83;1,83;1,42;A;10;101
1005144;7891000319628;CEREAL MUCILON ARROZ SH 180G;012;12;0,83;1,83;2,83;A;10;101
1005144;7891000319628;CEREAL MUCILON ARROZ SH 180G;014;12;0,67;1,67;1,42;A;10;101
1005144;7891000319628;CEREAL MUCILON ARROZ SH 180G;018;12;0,83;1,83;1,42;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;002;12;0,83;1,83;1,42;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;003;12;1,50;2,50;2,83;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;004;12;0,83;1,83;2,83;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;005;12;0,83;1,83;4,25;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;006;12;0,83;1,83;4,25;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;007;12;0,83;1,83;2,83;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;008;12;0,83;1,83;5,67;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;011;12;0,83;1,83;2,83;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;012;12;0,83;1,83;1,42;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;013;12;0,83;1,83;5,67;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;014;12;0,67;1,67;1,42;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;017;12;0,83;1,83;1,42;A;10;101
1000680;7891000319581;CEREAL MUCILON MILHO SH 180G;018;12;0,83;1,83;2,83;A;10;101
1000657;7891000319505;CEREAL MUCILON MULTICERAIS SH 180G;002;12;0,83;1,83;1,42;A;10;101
1000657;7891000319505;CEREAL MUCILON MULTICERAIS SH 180G;003;12;1,50;2,50;4,25;A;10;101
1000657;7891000319505;CEREAL MUCILON MULTICERAIS SH 180G;004;12;0,83;1,83;5,67;A;10;101
1000657;7891000319505;CEREAL MUCILON MULTICERAIS SH 180G;005;12;0,83;1,83;4,25;A;10;101
