codigoint;produto;loja;situacao;embseparacao;ppcx;estcx;pedcx;vd1sem-cx;vd2sem-cx;vm30dcx;cobestq-med30d;cobestq+ped;capgondcx;secaoope;grupomerc;dtsolicitacao
1000659;CEREAL MUCILON ARROZ E AVEIA SH 180G;4;6;12;0,67;0,58;0;0,08;0,25;0,21;19,09;19,09;2,83;10;101;24/nov/25
1000659;CEREAL MUCILON ARROZ E AVEIA SH 180G;6;6;12;1;0,67;1;0,67;0,58;0,68;6,86;17,14;4,25;10;101;24/nov/25
1000680;CEREAL MUCILON MILHO SH 180G;12;6;12;0,83;0,67;0;0,08;0,17;0,12;40;40;1,42;10;101;24/nov/25
1000657;CEREAL MUCILON MULTICERAIS SH 180G;3;6;12;1,5;1,92;1;0,83;0,67;0,64;20,91;31,82;4,25;10;101;24/nov/25
1000657;CEREAL MUCILON MULTICERAIS SH 180G;4;6;12;0,83;0,75;0;0,58;0,42;0,54;9,64;9,64;5,67;10;101;24/nov/25
1000657;CEREAL MUCILON MULTICERAIS SH 180G;7;6;12;0,83;0,5;1;0,75;0,67;0,88;4;12;2,83;10;101;24/nov/25
9992894;LEITE PO DOBON COMP VITAM SH 400G;2;6;25;0,8;0,68;1;1,2;1,08;1,04;4,59;11,35;1,36;10;102;24/nov/25
1010875;LEITE PO SH 1000G INT CCGL;3;6;10;2;3;3;0;1;0,7;30;60;2,6;10;102;24/nov/25
1010875;LEITE PO SH 1000G INT CCGL;4;6;10;1,5;1,2;0;0,2;0,2;0,16;51,43;51,43;2,6;10;102;24/nov/25
1010875;LEITE PO SH 1000G INT CCGL;5;6;10;1,5;1,3;0;0,1;0;0,09;97,5;97,5;1,3;10;102;24/nov/25
1010875;LEITE PO SH 1000G INT CCGL;13;6;10;1,5;0,8;2;0,2;0,5;0,3;18,46;64,62;3,9;10;102;24/nov/25
1010875;LEITE PO SH 1000G INT CCGL;17;6;10;1,5;1,1;0;0,2;0,4;0,44;17,37;17,37;2,6;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;2;6;50;0,6;0;2;0;0;0;;;0,68;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;5;6;50;0,5;0;1;0;0;0;0;1.500,00;1,36;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;6;6;50;0,5;-0,98;1;0,2;0,38;0,23;-30;0,61;0,68;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;7;6;50;0,5;-0,02;1;0;0;0,01;-15;735;0,68;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;8;6;50;0,4;1,16;1;0;0;0,01;870;1.620,00;1,02;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;11;6;50;0,6;0;2;0;0,04;0,14;0;100;0,68;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;12;6;50;0,6;0;2;0;0;0,03;0;500;1,02;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;13;6;50;0,5;0;1;0;0;0;;;1,36;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;14;6;50;0,6;0,1;1;0,18;0,14;0,19;3,75;41,25;0,68;10;102;24/nov/25
1010870;LEITE PO SH 120G QUALITEM INTEGRAL INST;18;6;50;0,6;0,44;0;0,34;0,08;0,13;23,57;23,57;0,34;10;102;24/nov/25
1020489;LEITE PO SH 350G INT NINHO;3;6;12;1,67;2,5;1;0,17;0;0,19;90;126;2,83;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;2;6;28;1;0,84;0;0,07;0,32;0,2;29,42;29,42;1,21;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;3;6;28;1;2,18;2;0,14;0,04;0,14;107,65;206,47;1,21;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;3;6;28;1;2,18;2;0,14;0,04;0,14;107,65;206,47;1,21;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;6;6;28;1;0,75;0;0,25;0,25;0,22;24,23;24,23;1,21;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;11;6;28;1;0,29;2;0,43;0,29;0,36;5,58;44,65;1,82;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;12;6;28;1;0,39;2;0,11;0,18;0,2;13,75;83,75;1,82;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;13;6;28;1;0,64;0;0,32;0,36;0,34;13,17;13,17;2,43;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;17;6;28;1;-0,04;2;0;0,21;0,27;-0,94;51,56;1,21;10;102;24/nov/25
32711;LEITE PO SH 360G INT STA CLARA;18;6;28;1;0,11;2;0,29;0,21;0,31;2,43;47,84;1,21;10;102;24/nov/25
1011845;LEITE PO SH 400G CCGL INTEGRAL INST;11;6;25;0,8;0,56;1;0;0,16;0,32;12,35;34,41;1,36;10;102;24/nov/25
1011845;LEITE PO SH 400G CCGL INTEGRAL INST;17;6;25;0,6;0,52;0;0,08;0,12;0,08;43,33;43,33;2,72;10;102;24/nov/25
20152;LEITE PO SH 400G ELEGE INTEGRAL INST;12;6;25;4;3,92;0;0,44;1,2;0,82;33,41;33,41;4,08;10;102;24/nov/25
1010874;LEITE PO SH 400G INT CCGL;3;6;25;1,4;1,96;1;0,76;0,6;0,62;22,27;33,64;1,36;10;102;24/nov/25
1010874;LEITE PO SH 400G INT CCGL;12;6;25;1;0,76;0;0,6;0,44;0,58;9,19;9,19;1,36;10;102;24/nov/25
1010874;LEITE PO SH 400G INT CCGL;13;6;25;0,6;0,56;0;0,28;0,48;0,38;10,24;10,24;1,36;10;102;24/nov/25
97713;LEITE PO SH DESN 400G ELEGE R.3;3;6;25;1,6;2,2;1;0,72;0,56;0,68;22,6;32,88;1,36;10;102;24/nov/25
97713;LEITE PO SH DESN 400G ELEGE R.3;17;6;25;0,6;0,36;1;0,16;0,68;0,27;9,31;35,17;0,68;10;102;24/nov/25
1018116;ACHOC LIQ ELEGE BOB ESPONJA 1L;4;6;12;1,5;1,25;0;0,33;0,17;0,23;37,5;37,5;0,58;10;103;24/nov/25
